package_id,arrival_time,sorter_start_time,sorter_end_time,loader_start_time,loader_end_time,transporter_start_time,transporter_end_time,unloader_start_time,unloader_end_time,delivery_time
1,3.8874591219517636,3.8874591219517636,4.589317527981627,4.589317527981627,6.433862284984194,6.433862284984194,9.724405984377572,9.724405984377572,9.927851879252096,11.20946558019538
3,6.154300357469667,6.154300357469667,7.132206637691574,7.132206637691574,7.21282126729146,7.21282126729146,11.806100521661683,11.806100521661683,12.035561036053997,13.29358984964502
2,4.32558935507932,4.32558935507932,5.435874945220475,5.435874945220475,8.386933265720911,8.386933265720911,12.103028854311642,12.103028854311642,12.942533689316116,14.121520305740857
4,9.67862066638104,9.67862066638104,10.572367151904194,10.572367151904194,13.789912595289831,13.789912595289831,18.24910102621914,18.24910102621914,18.897966460730174,20.214047611165967
5,13.138965922354334,13.138965922354334,14.168787084508654,14.168787084508654,14.71888855388792,14.71888855388792,18.98931952708668,18.98931952708668,20.831632055067303,22.104015063780086
7,20.33269550541059,20.33269550541059,21.145755628462716,21.145755628462716,22.965559157027116,22.965559157027116,25.581380468922482,25.581380468922482,26.113206293299285,27.554749725255842
6,20.21149163769788,20.21149163769788,21.304563298836037,21.304563298836037,24.501290658720144,24.501290658720144,29.399528967126948,29.399528967126948,29.684514536818874,30.598150834343013
8,22.314033317748784,22.314033317748784,23.521204773448467,23.521204773448467,24.58993036835984,24.58993036835984,29.614714502038968,29.684514536818874,30.50294280877727,31.443169470312316
9,23.00705704953111,23.00705704953111,24.088817317212627,24.501290658720144,24.52250353640251,24.52250353640251,27.920073242113205,27.920073242113205,30.297048463954415,31.533568326711514
10,24.179232199761444,24.179232199761444,25.213409191283777,25.213409191283777,33.58761151001012,33.58761151001012,38.326426646708605,38.326426646708605,39.44744046407636,40.37952877605947
12,30.309367331315944,30.309367331315944,31.345559456704464,33.58761151001012,36.185733469792176,36.185733469792176,39.660307637255784,39.660307637255784,40.659392391658,41.75573156962981
13,30.865979025771924,30.865979025771924,32.148777552812064,36.185733469792176,36.2297609077472,36.2297609077472,40.02944891243163,40.02944891243163,41.62418552541511,42.53742332272019
11,28.268605707655205,28.268605707655205,29.040758579928678,29.040758579928678,36.89931929461675,36.89931929461675,41.40303078648347,41.40303078648347,42.82647987645071,44.14212676399454
14,36.7074030346813,36.7074030346813,37.3817890798606,37.3817890798606,43.21949281479962,43.21949281479962,48.06652732243156,48.06652732243156,48.068132263870474,49.22594214352452
15,48.60514639149635,48.60514639149635,49.628619661067695,49.628619661067695,50.92834910867105,50.92834910867105,56.04947521790818,56.04947521790818,56.68469388282992,57.85647759834649
