package_id,arrival_time,sorter_start_time,sorter_end_time,loader_start_time,loader_end_time,transporter_start_time,transporter_end_time,unloader_start_time,unloader_end_time,delivery_time
1,3.8874591219517636,3.8874591219517636,4.589317527981627,4.589317527981627,6.433862284984194,6.433862284984194,9.724405984377572,9.724405984377572,9.927851879252096,11.20946558019538
3,6.154300357469667,6.154300357469667,7.132206637691574,7.132206637691574,7.21282126729146,7.21282126729146,11.806100521661683,11.806100521661683,12.035561036053997,13.29358984964502
2,4.32558935507932,4.32558935507932,5.435874945220475,5.435874945220475,8.386933265720911,8.386933265720911,12.103028854311642,12.103028854311642,12.942533689316116,14.121520305740857
4,9.67862066638104,9.67862066638104,10.572367151904194,10.572367151904194,13.789912595289831,13.789912595289831,18.24910102621914,18.24910102621914,18.897966460730174,20.214047611165967
5,13.138965922354334,13.138965922354334,14.168787084508654,14.168787084508654,14.71888855388792,14.71888855388792,18.98931952708668,18.98931952708668,20.831632055067303,22.104015063780086
7,20.33269550541059,20.33269550541059,21.145755628462716,21.145755628462716,22.965559157027116,22.965559157027116,25.581380468922482,25.581380468922482,26.113206293299285,26.994110122339347
6,20.21149163769788,20.21149163769788,21.304563298836037,21.304563298836037,24.501290658720144,24.501290658720144,28.876228020113025,28.876228020113025,29.45607143304139,30.472181049443183
10,24.179232199761444,24.179232199761444,25.358879861442805,25.358879861442805,25.53243796157976,25.53243796157976,28.49290375853101,28.49290375853101,31.177481871336283,32.460280398376426
8,22.314033317748784,22.314033317748784,23.521204773448467,23.521204773448467,24.58993036835984,24.58993036835984,27.987500074070535,27.987500074070535,33.88142061008659,35.02091592802716
9,23.00705704953111,23.00705704953111,24.088817317212627,24.088817317212627,25.72456672037013,25.72456672037013,31.93228388015292,31.93228388015292,34.47408072729031,35.4340183282272
11,27.690653658031508,27.690653658031508,28.46280653030498,28.46280653030498,28.84278728989422,28.84278728989422,32.7201653697186,32.7201653697186,34.668756839555144,35.468265067859825
12,29.731415281692247,29.731415281692247,30.671641943227293,30.671641943227293,33.008211546791046,33.008211546791046,36.48278571425465,36.48278571425465,41.07727473057649,42.17801702894983
13,44.57556315211746,44.57556315211746,45.77454542895839,45.77454542895839,47.26923051878207,47.26923051878207,50.92967207869766,50.92967207869766,51.92875683309988,52.654441318080195
