package_id,arrival_time,sorter_start_time,sorter_end_time,loader_start_time,loader_end_time,transporter_start_time,transporter_end_time,unloader_start_time,unloader_end_time,delivery_time
1,3.8874591219517636,3.8874591219517636,4.589317527981627,4.589317527981627,6.433862284984194,6.433862284984194,9.724405984377572,9.724405984377572,9.927851879252096,11.20946558019538
3,6.154300357469667,6.154300357469667,7.132206637691574,7.132206637691574,7.21282126729146,7.21282126729146,11.806100521661683,11.806100521661683,12.035561036053997,13.29358984964502
2,4.32558935507932,4.32558935507932,5.435874945220475,5.435874945220475,8.386933265720911,8.386933265720911,12.103028854311642,12.103028854311642,12.942533689316116,14.121520305740857
4,9.67862066638104,9.67862066638104,10.572367151904194,10.572367151904194,13.789912595289831,13.789912595289831,18.24910102621914,18.24910102621914,18.897966460730174,20.214047611165967
5,13.138965922354334,13.138965922354334,14.168787084508654,14.168787084508654,14.71888855388792,14.71888855388792,18.98931952708668,18.98931952708668,20.831632055067303,22.104015063780086
7,20.33269550541059,20.33269550541059,21.145755628462716,21.145755628462716,22.965559157027116,22.965559157027116,25.581380468922482,25.581380468922482,26.113206293299285,26.994110122339347
10,24.179232199761444,24.179232199761444,25.358879861442805,25.358879861442805,25.53243796157976,25.53243796157976,28.49290375853101,28.49290375853101,31.177481871336283,32.117708532871326
6,20.21149163769788,20.21149163769788,21.304563298836037,21.304563298836037,24.501290658720144,24.501290658720144,28.876228020113025,31.177481871336283,32.929909074009096,33.79979070521794
8,22.314033317748784,22.314033317748784,23.521204773448467,23.521204773448467,24.58993036835984,24.58993036835984,27.987500074070535,27.987500074070535,33.88142061008659,34.982162908459934
9,23.00705704953111,23.00705704953111,24.088817317212627,24.088817317212627,25.72456672037013,25.72456672037013,31.93228388015292,32.929909074009096,36.89168414747812,38.1296717098818
11,27.690653658031508,27.690653658031508,28.46280653030498,28.46280653030498,28.84278728989422,28.84278728989422,32.7201653697186,33.88142061008659,38.259698411290856,39.57534529883468
13,31.664226658120132,31.664226658120132,32.769589430939924,32.769589430939924,36.158651893789774,36.158651893789774,38.78707431869135,38.78707431869135,38.940305597338465,39.94091384091134
15,33.647038893169785,33.647038893169785,34.32142493834909,34.32142493834909,35.816110028172766,35.816110028172766,39.476551588088356,39.476551588088356,40.38728752335468,41.41076079292603
14,33.53697029828222,33.53697029828222,34.49690789921911,35.816110028172766,37.14822303404239,37.14822303404239,40.714412020567785,40.714412020567785,41.6892091062703,42.75089759572474
12,29.731415281692247,29.731415281692247,30.74752489809404,30.74752489809404,36.685184046264126,36.685184046264126,41.166879936123145,41.166879936123145,42.18295279704135,43.35473651255792
16,45.544782249984834,45.544782249984834,46.707504682070365,46.707504682070365,48.201300730527535,48.201300730527535,52.174144181016835,52.174144181016835,52.574884283632564,53.66471101920433
